"src","target","type","id","rank"
"James Gunn","to write and direct in April 2017","relationship","James Gunn","-4426286826369725917"
"James Gunn","initial ideas for third and final film in series","relationship","James Gunn","5845720842543243272"
"Guardians of the Galaxy Vol. 3","ensemble cast","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
"Guardians of the Galaxy Vol. 3","Will Poulter","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
"Guardians of the Galaxy Vol. 3","Vin Diesel","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
"Guardians of the Galaxy Vol. 3","Marvel Studios","relationship","Guardians of the Galaxy Vol. 3","-7278024353456562054"
"Guardians of the Galaxy Vol. 3","Guardians of the Galaxy (2014)","relationship","Guardians of the Galaxy Vol. 3","-5382979131085550270"
"Guardians of the Galaxy Vol. 3","Guardians of the Galaxy Vol. 2 (2017)","relationship","Guardians of the Galaxy Vol. 3","-5382979131085550270"
"Guardians of the Galaxy Vol. 3","Marvel Comics superhero team Guardians of the Galaxy","relationship","Guardians of the Galaxy Vol. 3","-4472096110381603551"
"Guardians of the Galaxy Vol. 3","2023 American superhero film","relationship","Guardians of the Galaxy Vol. 3","-1768771592778106734"
"Guardians of the Galaxy Vol. 3","32nd film in Marvel Cinematic Universe","relationship","Guardians of the Galaxy Vol. 3","-1768771592778106734"
"Guardians of the Galaxy Vol. 3","High Evolutionary (Iwuji)","relationship","Guardians of the Galaxy Vol. 3","-1181622832605898929"
"Guardians of the Galaxy Vol. 3","2023 American superhero film","relationship","Guardians of the Galaxy Vol. 3","-553155601023677021"
"Guardians of the Galaxy Vol. 3","32nd film in Marvel Cinematic Universe (MCU)","relationship","Guardians of the Galaxy Vol. 3","-553155601023677021"
"Guardians of the Galaxy Vol. 3","Guardians embark on mission","relationship","Guardians of the Galaxy Vol. 3","4594915167248525217"
"Guardians of the Galaxy Vol. 3","ensemble cast","relationship","Guardians of the Galaxy Vol. 3","4642555830275257859"
"Guardians of the Galaxy Vol. 3","Walt Disney Studios Motion Pictures","relationship","Guardians of the Galaxy Vol. 3","5218414605979031320"
"Guardians of the Galaxy Vol. 3","Guardians of the Galaxy (2014)","relationship","Guardians of the Galaxy Vol. 3","5568768422326593351"
"Guardians of the Galaxy Vol. 3","Guardians of the Galaxy Vol. 2 (2017)","relationship","Guardians of the Galaxy Vol. 3","5568768422326593351"
"Guardians of the Galaxy Vol. 3","Guardians embark on mission","relationship","Guardians of the Galaxy Vol. 3","5636258628009313734"
"Guardians of the Galaxy Vol. 3","Marvel Studios","relationship","Guardians of the Galaxy Vol. 3","7943757012230964750"
"Guardians of the Galaxy Vol. 3","Bradley Cooper","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
"Guardians of the Galaxy Vol. 3","Chris Pratt","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
"Guardians of the Galaxy Vol. 3","Chukwudi Iwuji","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
"Guardians of the Galaxy Vol. 3","Dave Bautista","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
"Guardians of the Galaxy Vol. 3","Karen Gillan","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
"Guardians of the Galaxy Vol. 3","Linda Cardellini","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
"Guardians of the Galaxy Vol. 3","Nathan Fillion","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
"Guardians of the Galaxy Vol. 3","Pom Klementieff","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
"Guardians of the Galaxy Vol. 3","Sylvester Stallone","relationship","Guardians of the Galaxy Vol. 3","9161736479065105300"
