"src","target","type","id","rank"
"the studio","the studio","relationship","the studio","-8385169977444437858"
"the cosmic side of the MCU","the cosmic side of the MCU","relationship","the cosmic side of the MCU","-4476495341705182043"
"began meeting with actors for the role of Adam Warlock","began meeting with actors for the role of Adam Warlock","relationship","began meeting with actors for the role of Adam Warlock","8156590832477642081"
"approval rating of 82% on Rotten Tomatoes","approval rating of 82% on Rotten Tomatoes","relationship","approval rating of 82% on Rotten Tomatoes","-7942391498962018755"
"approval rating of 82%","approval rating of 82%","relationship","approval rating of 82%","4367253990667738108"
"another Marvel movie","another Marvel movie","relationship","another Marvel movie","-5592649284859483131"
"after learning Nanjiani was cast as Kingo","after learning Nanjiani was cast as Kingo","relationship","after learning Nanjiani was cast as Kingo","3179558961820992472"
"actors for the role of Adam Warlock","actors for the role of Adam Warlock","relationship","actors for the role of Adam Warlock","-1806896560253541861"
"acoustic version of  Creep  by Radiohead","acoustic version of  Creep  by Radiohead","relationship","acoustic version of  Creep  by Radiohead","4568602162587319238"
"a younger version in Endgame","a younger version in Endgame","relationship","a younger version in Endgame","-6701267177393209590"
"a spaceship","a spaceship","relationship","a spaceship","483140503770638315"
"a near-death experience","a near-death experience","relationship","a near-death experience","-7942391498962018755"
"Zoe Saldaña","Gamora","relationship","Zoe Saldaña","-2359832575237925031"
"Zoe Saldaña","Guardians of the Galaxy films","relationship","Zoe Saldaña","6854565732705313314"
"his dramatic and comedic abilities","his dramatic and comedic abilities","relationship","his dramatic and comedic abilities","-7739115392796124987"
"Yondu would not be resurrected in the film","Yondu would not be resurrected in the film","relationship","Yondu would not be resurrected in the film","-3763534924201786867"
"Yondu Udonta","Yondu Udonta","relationship","Yondu Udonta","-2200251906687968932"
"Yondu Udonta","Yondu Udonta","relationship","Yondu Udonta","7875397649195424367"
"Will Poulter","Adam Warlock","relationship","Will Poulter","-2200251906687968932"
"Wendy Ide","the films for its emotional weight","relationship","Wendy Ide","-4287558288828529646"
"support for Gunn","support for Gunn","relationship","support for Gunn","4631568688810959186"
"Vol. 3 would take place after the events of Thor: Love and Thunder","Vol. 3 would take place after the events of Thor: Love and Thunder","relationship","Vol. 3 would take place after the events of Thor: Love and Thunder","-3763534924201786867"
"Warner Bros.","him","relationship","Warner Bros.","-3492641800738858122"
"Vol. 3 to be his last Guardians film","Vol. 3 to be his last Guardians film","relationship","Vol. 3 to be his last Guardians film","6889727592530243203"
"Vol. 3 in 2021","Vol. 3 in 2021","relationship","Vol. 3 in 2021","8039227028095317608"
"Vol. 3","Legendary Star-Lord  would return","relationship","Vol. 3","-7306362926116705801"
"Vol. 3","first MCU film to feature the word  fuck  uncensored","relationship","Vol. 3","-2200251906687968932"
"Vol. 3","Rocket's backstory","relationship","Vol. 3","-294617748239036587"
"Vol. 3","Vol. 3","relationship","Vol. 3","-8128520739599756807"
"Vol. 3","Vol. 3","relationship","Vol. 3","-7398780682540118903"
"Vol. 3","Vol. 3","relationship","Vol. 3","-5584777723540388379"
"Vol. 3","Vol. 3","relationship","Vol. 3","-4070035449181372828"
"Vol. 3","Vol. 3","relationship","Vol. 3","3226773976054810456"
"Vol. 3","Vol. 3","relationship","Vol. 3","6056701587198350278"
"Velma Dinkley","Velma Dinkley","relationship","Velma Dinkley","2536504317333517420"
"online petition asking for Gunn to be reinstated","online petition asking for Gunn to be reinstated","relationship","online petition asking for Gunn to be reinstated","1597458322555691968"
"character arc","character arc","relationship","character arc","5821892826948945498"
"Unsavory Octopus","cameo in film","relationship","Unsavory Octopus","-1235982978330508125"
"United States on May 5","United States on May 5","relationship","United States on May 5","-1264068030493870990"
"United States","United States","relationship","United States","-4876075496862519154"
"heavier  story","heavier  story","relationship","heavier  story","-6446684303911726640"
"Twitter","Twitter","relationship","Twitter","-7899328922447179209"
"the role over Zoom","the role over Zoom","relationship","the role over Zoom","-4469510268841037265"
"The Villainess inspired one of the fight scenes in Vol. 3","The Villainess inspired one of the fight scenes in Vol. 3","relationship","The Villainess inspired one of the fight scenes in Vol. 3","-8498743170864441250"
"The Villainess","one of the fight scenes in Vol. 3","relationship","The Villainess","-9066970770184109485"
"director of Volume 3","director of Volume 3","relationship","director of Volume 3","-7079952726870937073"
"The Suicide Squad in mid-October 2018","The Suicide Squad in mid-October 2018","relationship","The Suicide Squad in mid-October 2018","908882337817113019"
"The Suicide Squad","The Suicide Squad","relationship","The Suicide Squad","-8314044100720249497"
"The Suicide Squad","The Suicide Squad","relationship","The Suicide Squad","908882337817113019"
"The Suicide Squad","The Suicide Squad","relationship","The Suicide Squad","5992346976674143607"
"The Independent","it was  the best Marvel movie in years","relationship","The Independent","2483202927377345614"
"The Mandalorian","technology","relationship","The Mandalorian","3127586189530734274"
"The Mandalorian","October","relationship","The Mandalorian","4435754899113868033"
"The Hollywood Reporter","the firing","relationship","The Hollywood Reporter","5198294677919009854"
"The Hollywood Reporter","The Hollywood Reporter","relationship","The Hollywood Reporter","5895555119805877561"
"The Hindustan Times","Gunn's direction and writing","relationship","The Hindustan Times","807807822724540300"
"The Guardians' new ship","the Bowie","relationship","The Guardians' new ship","-2200251906687968932"
"The Guardians of the Galaxy Holiday Special","Vol. 3","relationship","The Guardians of the Galaxy Holiday Special","-8128520739599756807"
"The Guardians of the Galaxy Holiday Special","same time as Vol. 3","relationship","The Guardians of the Galaxy Holiday Special","4832263531932891627"
"Teefs","Teefs","relationship","Teefs","-7022703336288118420"
"Tara Strong","Mainframe","relationship","Tara Strong","-7022703336288118420"
"Tara Strong","Mainframe","relationship","Tara Strong","-5747480644704736231"
"Tara Strong","Mainframe","relationship","Tara Strong","-34247664097598142"
"Tara Strong","an undisclosed role","relationship","Tara Strong","8902349570502591894"
"Super Bowl LVII","Super Bowl LVII","relationship","Super Bowl LVII","1326692234707615079"
"developed as a person","developed as a person","relationship","developed as a person","-3763534924201786867"
"Stakar Ogord","Stakar Ogord","relationship","Stakar Ogord","-2858293761322373590"
"Stakar Ogord","Stakar Ogord","relationship","Stakar Ogord","-2200251906687968932"
"Stakar Ogord","Stakar Ogord","relationship","Stakar Ogord","7875397649195424367"
"Soviet Union","Soviet Union","relationship","Soviet Union","4951439973340139103"
"September 2019","September 2019","relationship","September 2019","-679805388867942697"
"The dialogue","improvised by Pratt","relationship","The dialogue","-2573292720337259746"
"Sean Gunn","young Rocket","relationship","Sean Gunn","882621279892588333"
"Sean Gunn","on set motion capture for Rocket","relationship","Sean Gunn","4328431494909037540"
"the following month","the following month","relationship","the following month","-6282531898327606475"
"Saldaña","a younger version in Endgame","relationship","Saldaña","-6701267177393209590"
"Saldaña","younger version","relationship","Saldaña","-6701267177393209590"
"Saldaña","Gamora","relationship","Saldaña","-4695726287958947734"
"Saldaña","Gamora's fate would depend on the plans that Marvel and Gunn have for Vol. 3","relationship","Saldaña","-3763534924201786867"
"Saldaña","Marvel could recast the role","relationship","Saldaña","-922603228796888218"
"Saldaña","April 2023","relationship","Saldaña","-679805388867942697"
"Rocket's wounds","Rocket's wounds","relationship","Rocket's wounds","6901670256839583970"
"Rocket's origins","Rocket's origins","relationship","Rocket's origins","8272669733474340626"
"Rocket's backstory","Rocket's backstory","relationship","Rocket's backstory","-294617748239036587"
"female","female","relationship","female","-480820256302437237"
"Rocket","a near-death experience","relationship","Rocket","-7942391498962018755"
"Rocket","Rocket","relationship","Rocket","-5602900441767020334"
"Rocket","Rocket","relationship","Rocket","-1289138313987517980"
"Rocket","Rocket","relationship","Rocket","4613412600223219493"
"Rocket","Rocket","relationship","Rocket","5320233080290484685"
"Rocket","Rocket","relationship","Rocket","7557883241958495227"
"Quill's group","disable the kill switch and restart Rocket's heart","relationship","Quill's group","1290631167067450485"
"Quill's group","the code","relationship","Quill's group","7096529409218097197"
"Quill","his grandfather Jason","relationship","Quill","-6208389823079398512"
"Quill","Earth","relationship","Quill","-3128302500991834706"
"Quill","Rocket","relationship","Quill","7557883241958495227"
"Quill","the dialogue","relationship","Quill","8129781868712979774"
"Quill","Guardians","relationship","Quill","8491158936130421937"
"Poulter","his dramatic and comedic abilities","relationship","Poulter","-7739115392796124987"
"Poulter","the part","relationship","Poulter","-7739115392796124987"
"Poulter","Adam Warlock","relationship","Poulter","-5747480644704736231"
"Poulter","the role over Zoom","relationship","Poulter","-4469510268841037265"
"Phlektik","Phlektik","relationship","Phlektik","7875397649195424367"
"middle of another draft","middle of another draft","relationship","middle of another draft","1500012394791939007"
"Phase Five of the MCU","Phase Five of the MCU","relationship","Phase Five of the MCU","6854565732705313314"
"Peter Quill's story","Peter Quill's story","relationship","Peter Quill's story","-5688029544194726938"
"Vin Diesel","Groot","relationship","Vin Diesel","-2200251906687968932"
"Peter Quill / Star-Lord","Peter Quill / Star-Lord","relationship","Peter Quill / Star-Lord","-2359832575237925031"
"Peter Bradshaw","the film was overlong","relationship","Peter Bradshaw","-8502378053513764957"
"Shooting","London","relationship","Shooting","-3260911218985799072"
"Shooting","London","relationship","Shooting","4583830779200497388"
"PETA","film to be the best animal rights film of the year","relationship","PETA","-611893709623847589"
"PETA","Gunn a  Not a Number Award","relationship","PETA","-216058505033208721"
"Rocket's story","other Guardians","relationship","Rocket's story","-8402679353835513446"
"Rocket's story","his background","relationship","Rocket's story","520407492098511738"
"Orgocorp's headquarters","Orgocorp's headquarters","relationship","Orgocorp's headquarters","-3517867964483245352"
"soundtrack was not limited to 1970s pop songs","soundtrack was not limited to 1970s pop songs","relationship","soundtrack was not limited to 1970s pop songs","-1295707284811905903"
"exit settlement with Disney","exit settlement with Disney","relationship","exit settlement with Disney","3851890425835639181"
"Rooker","Twitter","relationship","Rooker","-7899328922447179209"
"Orgocorp","High Evolutionary","relationship","Orgocorp","2505269781584188510"
"Official website","Marvel.com","relationship","Official website","8809276155927805395"
"had ideas for third film","had ideas for third film","relationship","had ideas for third film","9102253056064705046"
"Nicholas Barber","the film was overlong","relationship","Nicholas Barber","-8502378053513764957"
"Nebula and Drax","Knowhere","relationship","Nebula and Drax","-1083184332969135698"
"Nathan Durr","film's soundtrack","relationship","Nathan Durr","807807822724540300"
"Nathan Durr","soundtrack adds weight to characters' complexities and emotions","relationship","Nathan Durr","9102253056064705046"
"Quill's Zune","Quill's Zune","relationship","Quill's Zune","3613709514864613692"
"NPR","approach of cruelty to animals in the film","relationship","NPR","2531412161524703638"
"Pratt","rehearsals and camera tests","relationship","Pratt","6509211788973705182"
"Pratt","Guardians of the Galaxy films","relationship","Pratt","6854565732705313314"
"Pratt","continue to play Peter Quill","relationship","Pratt","8653276423195252652"
"Microsoft","Microsoft","relationship","Microsoft","3282220358180560143"
"soundtrack adds weight to characters' complexities and emotions","soundtrack adds weight to characters' complexities and emotions","relationship","soundtrack adds weight to characters' complexities and emotions","9102253056064705046"
"Michael Rosenbaum","Martinex","relationship","Michael Rosenbaum","-6057975157997525148"
"fire Gunn","fire Gunn","relationship","fire Gunn","-7545973805747438450"
"Michael Rooker","Yondu Udonta","relationship","Michael Rooker","-2200251906687968932"
"Michael Rooker","Yondu Udonta","relationship","Michael Rooker","7875397649195424367"
"Walt Disney Studios Motion Pictures","Walt Disney Studios Motion Pictures","relationship","Walt Disney Studios Motion Pictures","1102408125332951166"
"May 2021","May 2021","relationship","May 2021","5670002084795549319"
"Master Karja","Master Karja","relationship","Master Karja","-2200251906687968932"
"Master Karja","Master Karja","relationship","Master Karja","7875397649195424367"
"third film was planned","third film was planned","relationship","third film was planned","-3763534924201786867"
"his grandfather Jason","his grandfather Jason","relationship","his grandfather Jason","-6208389823079398512"
"Marvel.com","Marvel.com","relationship","Marvel.com","8809276155927805395"
"Ronan the Accuser","Ronan the Accuser","relationship","Ronan the Accuser","4976926970439248611"
"Marvel could recast the role","Marvel could recast the role","relationship","Marvel could recast the role","-922603228796888218"
"Marvel characters","Marvel characters","relationship","Marvel characters","8482298369274885970"
"the music streaming service Spotify","the music streaming service Spotify","relationship","the music streaming service Spotify","3282220358180560143"
"dog actor Slate","dog actor Slate","relationship","dog actor Slate","7307306680003087947"
"Marvel Studios' panel at the 2022 San Diego Comic-Con","Marvel Studios' panel at the 2022 San Diego Comic-Con","relationship","Marvel Studios' panel at the 2022 San Diego Comic-Con","3588606071463543928"
"The Suicide Squad with Feige","The Suicide Squad with Feige","relationship","The Suicide Squad with Feige","-1861682764312275174"
"Marvel Studios","Microsoft","relationship","Marvel Studios","3282220358180560143"
"Marvel Studios","the film","relationship","Marvel Studios","4269416549037527187"
"Marvel Studios","Vol. 3","relationship","Marvel Studios","6056701587198350278"
"Marvel Studios","Disney","relationship","Marvel Studios","8394050383110420994"
"Marvel Studios","Marvel Studios","relationship","Marvel Studios","3078240662641155798"
"Marvel Comics superhero team Guardians of the Galaxy","Marvel Comics superhero team Guardians of the Galaxy","relationship","Marvel Comics superhero team Guardians of the Galaxy","7704090507390192963"
"Martinex","Martinex","relationship","Martinex","-6057975157997525148"
"Mantis","journey of self-discovery","relationship","Mantis","-4075267301298401674"
"Mantis","Mantis","relationship","Mantis","-7891846963742498977"
"Mantis","Mantis","relationship","Mantis","-2200251906687968932"
"Mantis","Mantis","relationship","Mantis","6589652455315064681"
"move forward quickly","move forward quickly","relationship","move forward quickly","-8416991127309715871"
"Mainframe","Mainframe","relationship","Mainframe","-7022703336288118420"
"Mainframe","Mainframe","relationship","Mainframe","-5747480644704736231"
"Mainframe","Mainframe","relationship","Mainframe","-34247664097598142"
"a statement","a statement","relationship","a statement","4302577399963237419"
"Pete Davidson","Phlektik","relationship","Pete Davidson","7875397649195424367"
"Lylla","Lylla","relationship","Lylla","-7918421677410707671"
"Lylla","Lylla","relationship","Lylla","-1579213180646061653"
"Lylla","Lylla","relationship","Lylla","-1351189608102716533"
"London","London","relationship","London","-3260911218985799072"
"London","London","relationship","London","4583830779200497388"
"filming the special","filming the special","relationship","filming the special","-458913554638048535"
"Lloyd Kaufman","Gridlemop","relationship","Lloyd Kaufman","7875397649195424367"
"Linda Cardellini","Lylla","relationship","Linda Cardellini","-1579213180646061653"
"Linda Cardellini","Lylla","relationship","Linda Cardellini","-1351189608102716533"
"Linda Cardellini","Velma Dinkley","relationship","Linda Cardellini","2536504317333517420"
"Linda Cardellini","voice and motion capture for Lylla","relationship","Linda Cardellini","4328431494909037540"
"Linda Cardellini","Laura Barton in past MCU media","relationship","Linda Cardellini","7875397649195424367"
"had ideas for a potential third film","had ideas for a potential third film","relationship","had ideas for a potential third film","9102253056064705046"
"Legendary Star-Lord  would return","Legendary Star-Lord  would return","relationship","Legendary Star-Lord  would return","-7306362926116705801"
"stuff from first two films","stuff from first two films","relationship","stuff from first two films","-4091452536406581238"
"Laura Barton in past MCU media","Laura Barton in past MCU media","relationship","Laura Barton in past MCU media","7875397649195424367"
"Lambshank","Lambshank","relationship","Lambshank","1864028754681009572"
"Lambshank","Lambshank","relationship","Lambshank","8172785770644530903"
"weighted average score of 64 on Metacritic","weighted average score of 64 on Metacritic","relationship","weighted average score of 64 on Metacritic","-7942391498962018755"
"Marvel","first draft of screenplay from Gunn","relationship","Marvel","5696663794156731277"
"Marvel","Marvel","relationship","Marvel","1828268946735562414"
"Kumail Nanjiani","Kumail Nanjiani","relationship","Kumail Nanjiani","-6138708149769635667"
"Kraglin","the Guardians","relationship","Kraglin","1051457163903185543"
"Knowhere","Knowhere","relationship","Knowhere","-1083184332969135698"
"the firing","the firing","relationship","the firing","5198294677919009854"
"the firing","the firing","relationship","the firing","5198294677919009854"
"the firing","the firing","relationship","the firing","5198294677919009854"
"the firing","the firing","relationship","the firing","5198294677919009854"
"the Bowie","the Bowie","relationship","the Bowie","-7724004975449335461"
"the Bowie","the Bowie","relationship","the Bowie","-2200251906687968932"
"Kevin Feige","third film was planned","relationship","Kevin Feige","-3763534924201786867"
"Kevin Feige","third film was planned for the franchise","relationship","Kevin Feige","-3763534924201786867"
"Kareem Abdul-Jabbar","opinion pieces","relationship","Kareem Abdul-Jabbar","1499423215804574743"
"Kareem Abdul-Jabbar","The Hollywood Reporter","relationship","Kareem Abdul-Jabbar","5895555119805877561"
"Judianna Makovsky","costume designer","relationship","Judianna Makovsky","6724689730893271636"
"Jon Favreau","James Gunn","relationship","Jon Favreau","2835356903081972721"
"John Murphy","the film's score","relationship","John Murphy","-5005890892649265267"
"younger version","younger version","relationship","younger version","-6701267177393209590"
"continue to play Peter Quill","continue to play Peter Quill","relationship","continue to play Peter Quill","8653276423195252652"
"Jared Gore","Krugarr","relationship","Jared Gore","-5558863745541270159"
"to rehire James Gunn","to rehire James Gunn","relationship","to rehire James Gunn","3888620734757678668"
"James Gunn","The Suicide Squad","relationship","James Gunn","-8314044100720249497"
"James Gunn","director of Volume 3","relationship","James Gunn","-7079952726870937073"
"James Gunn","$7–10 million","relationship","James Gunn","-6343239266968081942"
"James Gunn","the film","relationship","James Gunn","-6014769125565566519"
"James Gunn","Rocket","relationship","James Gunn","-5602900441767020334"
"James Gunn","director for Vol. 3","relationship","James Gunn","-5399440036737921708"
"James Gunn","Horn","relationship","James Gunn","-5055854432352577445"
"James Gunn","Disney","relationship","James Gunn","-4368852197164242010"
"James Gunn","third film would be for sure","relationship","James Gunn","-3763534924201786867"
"James Gunn","The Suicide Squad with Feige","relationship","James Gunn","-1861682764312275174"
"James Gunn","director of the film","relationship","James Gunn","-231905782221773733"
"James Gunn","he would return to write and direct Guardians of the Galaxy Vol. 3","relationship","James Gunn","189103936655717692"
"James Gunn","would return to write and direct Guardians of the Galaxy Vol. 3","relationship","James Gunn","189103936655717692"
"James Gunn","The Suicide Squad","relationship","James Gunn","908882337817113019"
"James Gunn","The Suicide Squad in mid-October 2018","relationship","James Gunn","908882337817113019"
"James Gunn","Lambshank","relationship","James Gunn","1864028754681009572"
"James Gunn","The Suicide Squad (2021)","relationship","James Gunn","2395936633248325862"
"James Gunn","Vol. 3","relationship","James Gunn","3226773976054810456"
"James Gunn","exit settlement with Disney","relationship","James Gunn","3851890425835639181"
"James Gunn","statement of support","relationship","James Gunn","5696663794156731277"
"James Gunn","The Suicide Squad","relationship","James Gunn","5992346976674143607"
"James Gunn","involvement in third Guardians film","relationship","James Gunn","6238723881874744285"
"James Gunn","Horn","relationship","James Gunn","6772550326330249726"
"James Gunn","Lambshank","relationship","James Gunn","8172785770644530903"
"James Gunn","had ideas for a potential third film","relationship","James Gunn","9102253056064705046"
"James Gunn","had ideas for third film","relationship","James Gunn","9102253056064705046"
"James Gunn","James Gunn","relationship","James Gunn","-6375653954199588090"
"James Gunn","James Gunn","relationship","James Gunn","2835356903081972721"
"In the Meantime  by Spacehog","In the Meantime  by Spacehog","relationship","In the Meantime  by Spacehog","5273030728856961245"
"unanimous decision","unanimous decision","relationship","unanimous decision","556485308402867751"
"Horn","Horn","relationship","Horn","-5055854432352577445"
"Horn","Horn","relationship","Horn","5890020140232570083"
"Horn","Horn","relationship","Horn","6772550326330249726"
"Honey Nut Cheerios","Honey Nut Cheerios","relationship","Honey Nut Cheerios","3934043554400738867"
"the Holiday Special","the Holiday Special","relationship","the Holiday Special","1846897805811217850"
"Hollywood Records","Hollywood Records","relationship","Hollywood Records","5393670627185580414"
"High Evolutionary as the  cruelest MCU villain","High Evolutionary as the  cruelest MCU villain","relationship","High Evolutionary as the  cruelest MCU villain","8498564794173705742"
"highly skilled warrior","highly skilled warrior","relationship","highly skilled warrior","-2200251906687968932"
"Sylvester Stallone","Stakar Ogord","relationship","Sylvester Stallone","-2858293761322373590"
"Sylvester Stallone","Stakar Ogord","relationship","Sylvester Stallone","-2200251906687968932"
"Sylvester Stallone","Stakar Ogord","relationship","Sylvester Stallone","7875397649195424367"
"High Evolutionary","Lylla","relationship","High Evolutionary","-7918421677410707671"
"High Evolutionary","the Animen's imperfect society","relationship","High Evolutionary","-5143183264991670201"
"High Evolutionary","Counter-Earth","relationship","High Evolutionary","5123929743641457358"
